H|        1860| |00 23 31.03|+77 11 21.1|11.31| |G|005.87929684|+77.18918134| |  50.71| -840.75|   45.38|  2.38|  2.26|  2.72|  3.30|  2.63|-0.08| 0.00| 0.15|-0.06| 0.01| 0.00| 0.01|-0.26|-0.07|-0.05|  0|     |  1860|      |     |      |     | | 1.462|0.008|G|1.86|0.04|I| |11.3048|0.0046|0.040|118| |11.25|11.37|       |C| | |          | |  | 1|X| |S|  |   |       |     |     |    | |G| |      |          |          |          |1.86|K           |S 
H|        1936| |00 24 25.50|-27 01 37.1| 7.92| |H|006.10623866|-27.02697608| |  55.53|  667.39|   83.92|  0.87|  0.65|  1.08|  1.23|  0.62| 0.10| 0.18|-0.19| 0.08|-0.09| 0.19|-0.06|-0.33| 0.03| 0.08|  0|-0.03|  1936| 9.110|0.014| 8.028|0.010| | 0.940|0.010|G|0.99|0.01|I| | 8.0616|0.0012|0.012|100| | 8.04| 8.08|       |D| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  2025|          |C-27   108|P-27    25|0.99|K2V         |3 
H|        2021| |00 25 39.20|-77 15 18.1| 2.82| |G|006.41334183|-77.25503511| | 133.78| 2220.12|  324.37|  0.42|  0.45|  0.51|  0.48|  0.49| 0.10| 0.09|-0.25|-0.06| 0.01| 0.06| 0.01| 0.03| 0.10| 0.31|  0|-1.44|  2021|      |     |      |     | | 0.618|0.008|G|0.68|0.02|A| | 2.9305|0.0003|0.004|122| | 2.93| 2.94|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  2151|          |C-77    15|P-77    16|0.68|G2IV        |X 
H|        2120| |00 26 52.94|+70 08 34.0|10.52| |G|006.72057388|+70.14277688| |  61.39| -135.47| -148.03|  1.21|  1.06|  1.51|  1.62|  1.21|-0.23|-0.02| 0.24| 0.09| 0.03| 0.23|-0.03| 0.02|-0.13|-0.28|  0| 0.29|  2120|12.129|0.133|10.734|0.064| | 1.459|0.021|G|1.85|0.09|I| |10.5945|0.0031|0.031|126| |10.55|10.66|       | | | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |          |          |1.85|M0          |S 
H|        2552|H|00 32 26.81|+67 14 10.4|10.27|2|H|008.11171615|+67.23621544|A|  98.74| 1739.07| -224.63|  2.98|  2.88|  3.37|  2.61|  2.45|-0.17| 0.00| 0.08|-0.20| 0.07| 0.18| 0.06|-0.11|-0.04|-0.12|  0| 2.95|  2552|      |     |      |     | | 1.520|0.460|G|2.06|0.52|K|*|10.3464|0.0049|0.049|128|*|10.28|10.51|       |U|2| |00325+6714|I| 1| 2|C| |A|AB|163|  4.147|0.023| 1.63|0.10| |G| |      |B+66   34 |          |          |2.06|M2.5Ve      |K 
H|        2941|H|00 37 19.79|-24 46 02.0| 5.57| |G|009.33244613|-24.76722545|A|  64.38| 1422.09|  -17.15|  1.68|  1.09|  1.40|  2.84|  1.23| 0.16|-0.06|-0.01| 0.31|-0.11|-0.19|-0.10| 0.18| 0.03|-0.08| 20| 2.44|  2941| 6.489|0.004| 5.677|0.004|*| 0.715|0.004|G|0.78|0.02|A|*| 5.7134|0.0008|0.006| 85|*| 5.70| 5.72|       |D| | |00373-2446|I| 1| 2|C| |A|AB|113|  0.736|0.004| 0.32|0.01|S| | |  3443|          |C-25   225|P-25    64|0.78|K1V+...     |4 
H|        3093| |00 39 22.09|+21 15 04.9| 5.88| |G|009.84206107|+21.25137390| |  90.03| -461.07| -370.88|  0.62|  0.61|  0.72|  0.71|  0.66| 0.16| 0.15|-0.08| 0.07|-0.12| 0.03|-0.11|-0.41|-0.02| 0.19|  0| 1.80|  3093|      |     |      |     | | 0.850|0.009|G|0.83|0.01|G| | 6.0300|0.0010|0.007| 58| | 6.02| 6.04|       | | | |00394+2115|I| 1| 1| | | |  |   |       |     |     |    |S| | |  3651|B+20   85 |          |          |0.83|K0V         |X 
H|        3206| |00 40 49.00|+40 11 19.7| 7.36| |G|010.20415817|+40.18879925| |  57.90|  355.69| -668.91|  0.53|  0.72|  0.98|  0.71|  0.69| 0.33| 0.03|-0.20|-0.15|-0.09|-0.16|-0.18|-0.56| 0.42| 0.02|  0|-1.95|  3206| 8.578|0.009| 7.457|0.006| | 0.937|0.017|G|0.98|0.02|I| | 7.5023|0.0012|0.009|128| | 7.49| 7.52|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  3765|B+39  154 |          |          |0.98|K2V         |X 
H|        3261| |00 41 30.72|-33 37 29.8|10.58| |G|010.37798776|-33.62495401| |  50.29| -348.13| -249.40|  1.56|  1.35|  1.93|  1.90|  1.53| 0.22|-0.16|-0.45|-0.12|-0.30| 0.29|-0.24|-0.38| 0.22| 0.18|  2| 0.85|  3261|13.000|0.327|10.646|0.060| | 1.432|0.010|G|1.75|0.03|I| |10.6304|0.0045|0.026| 80| |10.59|10.67|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |C-34   239|          |1.75|            |  
H|        3583| |00 45 45.43|-47 33 07.8| 5.80|1|G|011.43930832|-47.55217573| |  66.92|  183.96|   78.36|  0.41|  0.41|  0.73|  0.54|  0.50|-0.46|-0.04| 0.00| 0.18| 0.01| 0.01| 0.00| 0.12| 0.03|-0.40|  0| 0.18|  3583| 6.572|0.002| 5.867|0.002| | 0.635|0.003|G|0.72|0.07|F| | 5.9251|0.0006|0.010|247| | 5.91| 5.94|       |M| | |00458-4733|I| 1| 1| | | |  |   |       |     |     |    |S| | |  4391|          |C-48   176|P-48    82|0.72|G5IV        |X 
H|        3588|H|00 45 48.05|-41 54 32.4| 7.89| |H|011.45019784|-41.90900883|A|  62.41|  301.59|  -80.66|  1.23|  1.38|  1.60|  1.02|  0.98|-0.17| 0.15|-0.11| 0.24| 0.17| 0.06| 0.13| 0.29|-0.04|-0.14|  7| 1.09|  3588| 9.410|0.025| 7.971|0.013|*| 1.251|0.011|G|1.42|0.02|A|*| 7.9987|0.0013|0.016|151|*| 7.97| 8.03|       |D| | |00458-4155|I| 1| 2|C| |A|AB|104|  5.073|0.005| 0.64|0.01|S| | |  4378|          |C-42   249|P-42    68|1.42|K5V comp SB |G 
H|        3765| |00 48 22.53|+05 17 00.2| 5.74| |G|012.09388786|+05.28338873| | 134.04|  758.04|-1141.22|  0.75|  0.58|  0.86|  0.73|  0.57| 0.31| 0.19|-0.01| 0.03| 0.00| 0.06| 0.06|-0.17| 0.21| 0.45|  2| 1.09|  3765| 6.875|0.006| 5.845|0.003| | 0.890|0.008|G|0.97|0.02|A| | 5.8775|0.0009|0.006| 73| | 5.87| 5.89|       |C| | |00483+0516|I| 1| 1| | | |  |   |       |     |     |    |S| | |  4628|B+04  123 |          |          |0.97|K2V         |X 
H|        3821| |00 49 05.10|+57 48 59.6| 3.46|1|H|012.27125262|+57.81654770|A| 167.99| 1087.11| -559.65|  0.44|  0.44|  0.62|  0.44|  0.44|-0.42| 0.04| 0.18|-0.16| 0.19|-0.06| 0.20| 0.02| 0.18|-0.54|  4| 1.86|  3821| 4.158|0.003| 3.520|0.003|A| 0.587|0.003|T|0.66|0.00|L| | 3.5835|0.0024|0.009|229|A| 3.58| 3.63|       |U|2| |00491+5749|I| 2| 2|C| |A|AB|313| 12.490|0.023| 3.78|0.08|S| | |  4614|B+57  150 |          |          |0.65|G0V SB      |G 
H|        3829| |00 49 09.18|+05 23 42.7|12.37| |G|012.28823784|+05.39519773| | 226.95| 1233.05|-2710.56|  4.38|  3.33|  5.35|  4.72|  3.67| 0.40| 0.25| 0.03|-0.06| 0.00|-0.12|-0.03| 0.04|-0.21| 0.33|  7| 1.86|  3829|      |     |      |     | | 0.554|0.003|G|0.49|0.02|A| |12.5592|0.0181|0.112| 59| |12.28|12.81|       | | | |          | |  | 1|G| | |  |   |       |     |     |    | |G| |      |          |          |          |0.49|DG          |S 
H|        3850| |00 49 26.44|-23 12 46.0| 7.15| |G|012.36015525|-23.21277388| |  53.09|  516.74|  119.52|  0.67|  0.66|  1.02|  1.04|  0.72| 0.32|-0.23|-0.36|-0.22|-0.23| 0.47|-0.17|-0.40| 0.29| 0.18|  0|-1.26|  3850| 8.109|0.010| 7.247|0.008| | 0.769|0.009|G|0.82|0.02|A| | 7.2981|0.0008|0.009| 91| | 7.28| 7.32|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4747|          |C-23   315|P-23    95|0.82|G8/K0V      |4 
H|        3909| |00 50 07.72|-10 38 37.6| 5.17| |H|012.53218487|-10.64377045| |  64.69| -224.67| -228.44|  0.70|  0.60|  1.03|  0.96|  0.63| 0.09| 0.03|-0.36|-0.03|-0.16| 0.57| 0.09|-0.46| 0.57| 0.54|  0| 0.05|  3909| 5.780|0.004| 5.228|0.004| | 0.514|0.011|G|0.59|0.02|A| | 5.2811|0.0008|0.005| 57| | 5.27| 5.29|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4813|B-11  153 |          |          |0.59|F7IV-V      |X 
H|        3937|H|00 50 33.12|+24 49 00.6|12.01| |H|012.63797991|+24.81682158|A|  83.20|  198.46|  -41.74| 11.14|  6.57|  9.08|  9.58|  4.98| 0.24| 0.54| 0.05|-0.30|-0.14| 0.03| 0.01|-0.45| 0.22| 0.24|  2| 0.26|  3937|      |     |      |     | |      |     | |    |    |T|*|12.1480|0.0143|0.081| 69|*|11.96|12.31|       |D| | |00506+2449|M| 1| 2|C| |B|AB|316|  2.080|0.032| 1.11|0.11| |G| |      |          |          |          |0.75|            |  
H|        4012| |00 51 28.10|+58 18 03.8|10.66| |G|012.86707054|+58.30104220| |  54.23| 1566.84|  405.19|  1.17|  1.17|  2.12|  1.58|  1.40|-0.53| 0.14| 0.04| 0.00| 0.06| 0.05| 0.04| 0.05| 0.02|-0.56|  1| 1.21|  4012|12.223|0.155|10.809|0.068| | 1.363|0.015|G|1.59|0.03|I| |10.7488|0.0032|0.044|232| |10.65|10.82|       | | | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |          |          |1.59|M2          |S 
H|        4022| |00 51 33.63|-22 54 33.8| 8.95| |G|012.89013153|-22.90939545| |  65.81|  612.07| -275.45|  1.00|  0.91|  1.44|  1.43|  0.99| 0.36|-0.29|-0.46|-0.21|-0.23| 0.34|-0.20|-0.36| 0.38| 0.16|  4| 2.64|  4022|10.652|0.049| 9.149|0.023| | 1.290|0.022|G|1.49|0.02|A| | 9.0615|0.0020|0.017| 77| | 9.04| 9.09|       |C| | |00516-2255|I| 1| 1| | | |  |   |       |     |     |    | | | |  4967|          |C-23   332|P-23   101|1.49|K5V         |4 
