10812, 11.590000, 34.787762, -36.779420, 71.560000, 1.510000, DEFAULT,0,0,0,
11048, 9.400000, 35.560232, 47.879929, 83.930000, 1.466000, M2,0,0,0,
11452, 8.690000, 36.940879, 4.431569, 60.220000, 1.397000, K7V:,02278+0426,0,0,
11565, 8.780000, 37.255466, -19.979618, 52.900000, 1.120000, K4V,02290-1959,0,0,
11964, 8.890000, 38.593831, -43.795639, 86.870000, 1.390000, K7V comp SB,0,0,0,
12097, 10.680000, 38.971465, 20.220225, 71.600000, 1.470000, M2,0,0,0,
12114, 5.790000, 39.015969, 6.883364, 138.720000, 0.918000, K3V,02361+0653,0,0,
12261, 12.360000, 39.469580, -58.753582, 67.200000, 0.000000, DEFAULT,0,0,0,
12351, 9.480000, 39.754978, -58.187220, 60.510000, 1.396000, M0Ve,02390-5811,0,0,
12653, 5.400000, 40.638160, -50.800827, 58.000000, 0.561000, G3IV,0,HD 17051,HR 810,
12709, 8.230000, 40.836047, 19.429282, 53.890000, 1.074000, K5,0,0,0,
12777, 4.100000, 41.048700, 49.228666, 89.030000, 0.514000, F7V,02441+4913,HD 16895,HR 799,
12781, 10.550000, 41.062295, 25.524249, 132.420000, 1.530000, M3.5Ve,0,0,0,
12843, 4.470000, 41.274923, -18.572651, 71.560000, 0.481000, F5/F6V,0,HD 17206,HR 818,
12929, 8.590000, 41.571331, 11.775751, 62.830000, 1.269000, K5,0,0,0,
13218, 10.720000, 42.541025, -53.140193, 76.450000, 1.510000, M,0,0,0,
13375, 9.600000, 43.026806, 34.391759, 70.190000, 1.315000, K6:,0,0,0,
13389, 11.360000, 43.087000, -63.681353, 86.910000, 1.549000, M,0,0,0,
13402, 6.050000, 43.132878, -12.769254, 96.330000, 0.862000, K1V,0,0,0,
14101, 10.400000, 45.465028, -16.592633, 92.970000, 0.000000, DEFAULT,0,0,0,
14445, 9.070000, 46.610458, 1.967423, 67.690000, 1.358000, M0V,0,0,0,
14555, 10.210000, 46.983223, -28.219435, 52.380000, 0.000000, Se,03079-2813,0,0,
14559, 11.720000, 46.991442, -28.220970, 114.730000, 0.000000, DEFAULT,03079-2813,0,0,
14632, 4.050000, 47.262014, 49.613500, 94.930000, 0.595000, G0V,03091+4936,HD 19373,HR 937,
14669, 10.110000, 47.379800, 45.733678, 64.830000, 1.473000, M2,03095+4544,0,0,
14731, 11.820000, 47.564766, 5.910111, 57.530000, 1.500000, M4V:,0,0,0,
14754, 11.390000, 47.628983, -68.600688, 98.500000, 0.025000, DA,0,0,0,
14879, 3.800000, 48.017833, -28.989106, 70.860000, 0.543000, F8V,03121-2859,HD 20010,HR 963,
15095, 9.170000, 48.685346, -26.446487, 54.480000, 1.235000, K5V,0,0,0,
15220, 10.530000, 49.055581, 58.168170, 74.290000, 1.430000, M2,03162+5810,0,0,
15330, 5.530000, 49.435288, -62.576899, 82.510000, 0.641000, G2V,03180-6232,HD 20766,HR 1006,
15366, 10.290000, 49.529788, 38.253458, 57.750000, 1.449000, M1,0,0,0,
15371, 5.240000, 49.546404, -62.507935, 82.790000, 0.600000, G1V,03180-6232,HD 20807,HR 1010,
15457, 4.840000, 49.839745, 3.369971, 109.180000, 0.681000, G5Vvar,03194+0321,HD 20630,HR 996,
15510, 4.260000, 49.971770, -43.071549, 165.020000, 0.711000, G8V,0,HD 20794,HR 1008,
