what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790714450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403790746826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790784780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790785011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790803874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790804739
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1403790832884
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1403790832938
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1403790832946
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1403790833006
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1403790833038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790833125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790834483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790834945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790881666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790917223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790918345
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403790920898
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1403790921065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790922249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790923563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790923880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790940513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790940549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790979103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790979970
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1403790982492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790982521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790983713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790983984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791006513
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403791006534
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791009931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791009996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791039557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791039751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791041490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791041871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791064182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791064267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791066083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791067591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791067860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791086047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791087621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791127547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791197639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791200351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791200730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791211058
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791221328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791225243
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791226320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791231500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791240669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791241843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791242117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791253701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791270281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791271568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791271885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791280401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791282560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791293328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791296927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791352496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791352568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791354078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791355164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791355434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791361375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403791362780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403791389054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791404359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791404464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791407303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791408567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403791408867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403792680108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403792760863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793163428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403793167354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793182923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793184237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793184587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793190468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793197354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793198470
